platform,kmer_size,kernel_time,integer_operations_by_thread,integer_operations_by_warp,dram_bytes,AI,GIntOP_per_sec
NVIDIA,21,0.022,3936830188,1228657034,4765081856,0.258,55.196
NVIDIA,33,0.022,4541193966,1192215766,5276132352,0.226,53.728
NVIDIA,55,0.032,7814873738,1840612174,7627277824,0.241,57.447
NVIDIA,77,0.033,7908139289,1802462187,5887050880,0.306,53.934
AMD,21,0.032,18116132672,283064573,6771120448,2.675,573.393
AMD,33,0.038,14372476736,224569949,9384099136,1.532,378.223
AMD,55,0.068,21724104128,339439127,16996947648,1.278,319.472
AMD,77,0.067,23006191360,359471740,16064669376,1.432,343.376
INTEL,21,0.027,3331000000,208187500,5140000000,0.648,123.370
INTEL,33,0.026,3840000000,240000000,4970000000,0.773,147.692
INTEL,55,0.022,6772000000,423250000,4886000000,1.386,307.818
INTEL,77,0.028,7551000000,471937500,2510000000,3.008,269.679